"Id
attempt";"Id
user";Device;IP address;MAC address;Place;Time;Authentication method;"Attempts with incorrect password 
(k)";"Keystroke 
(seconds/key)";"Attempts with correct password & invalid keystroke 
(m)";"Attempts with biometrics
(l)";"Safe authentication
(Yes/No)"
199;2;Smartphone;192.168.10.155;82-CD-0E-4E-97-2F;Home;Morning;Biometric;>3;[0.5, 1.6[;>3;<=2;Yes
200;2;Smartphone;192.168.10.155;82-CD-0E-4E-97-2F;Home;Morning;Biometric;>3;[0.5, 1.6[;>3;<=2;No
201;2;Smartphone;192.168.10.155;82-CD-0E-4E-97-2F;Home;Morning;Biometric;>3;[0.5, 1.6[;>3;<=2;Yes
202;2;Laptop;10.10.0.5;08-3C-51-D1-B2-9B;Office;Afternoon;Biometric;>3;[1.6, 2.6[;>3;>2;No
203;2;Smartphone;172.17.0.15;82-CD-0E-4E-97-2F;Office;Morning;Biometric;<=3;[0.5, 1.6[;>3;<=2;Yes
204;2;Smartphone;172.17.0.15;82-CD-0E-4E-97-2F;Office;Morning;Biometric;<=3;[0.5, 1.6[;>3;<=2;Yes
205;2;Smartphone;172.17.0.15;82-CD-0E-4E-97-2F;Other;Afternoon;Biometric;>3;[1.6, 2.6[;>3;>2;No
206;2;Smartphone;172.17.0.15;82-CD-0E-4E-97-2F;Other;Afternoon;Biometric;>3;[1.6, 2.6[;>3;>2;No
207;2;Laptop;192.168.10.155;82-CD-0E-4E-97-2F;Home;Morning;Biometric;<=3;[1.6, 2.6[;>3;>2;No
208;2;Laptop;192.168.10.155;82-CD-0E-4E-97-2F;Home;Morning;Biometric;<=3;[1.6, 2.6[;>3;>2;No
209;2;Smartphone;172.17.0.15;82-CD-0E-4E-97-2F;Office;Morning;Biometric;<=3;[0.5, 1.6[;>3;<=2;Yes
210;2;Laptop;172.18.0.34;82-CD-0E-4E-97-2F;Other;Afternoon;Biometric;>3;[1.6, 2.6[;>3;<=2;Yes
211;2;Laptop;172.18.0.34;82-CD-0E-4E-97-2F;Other;Afternoon;Biometric;>3;[0.5, 1.6[;>3;<=2;Yes
212;2;Smartphone;172.17.0.15;82-CD-0E-4E-97-2F;Other;Morning;Biometric;<=3;[1.6, 2.6[;>3;<=2;Yes
213;2;Laptop;192.168.10.155;82-CD-0E-4E-97-2F;Home;Morning;Biometric;>3;[0.5, 1.6[;>3;>2;No
214;2;Smartphone;172.17.0.15;82-CD-0E-4E-97-2F;Other;Morning;Biometric;<=3;[1.6, 2.6[;>3;<=2;Yes
215;2;Laptop;172.17.0.15;82-CD-0E-4E-97-2F;Other;Morning;Password;<=3;[0.5, 1.6[;<=3;;Yes
216;2;Laptop;172.17.0.15;82-CD-0E-4E-97-2F;Other;Morning;Password;<=3;[0.5, 1.6[;<=3;;Yes
217;2;Laptop;172.17.0.15;82-CD-0E-4E-97-2F;Other;Morning;Password;<=3;[0.5, 1.6[;<=3;;Yes
218;2;Smartphone;172.17.0.15;82-CD-0E-4E-97-2F;Home;Afternoon;Biometric;>3;[0.5, 1.6[;>3;>2;No
219;2;Smartphone;172.17.0.15;82-CD-0E-4E-97-2F;Home;Afternoon;Biometric;>3;[0.5, 1.6[;>3;>2;Yes
220;2;Laptop;172.17.0.15;82-CD-0E-4E-97-2F;Office;Afternoon;Biometric;<=3;[1.6, 2.6[;>3;<=2;Yes
221;2;Smartphone;172.17.0.15;82-CD-0E-4E-97-2F;Home;Afternoon;Biometric;>3;[0.5, 1.6[;>3;>2;No
222;2;Smartphone;172.17.0.15;82-CD-0E-4E-97-2F;Home;Afternoon;Biometric;>3;[0.5, 1.6[;>3;>2;No
223;2;Smartphone;172.17.0.15;82-CD-0E-4E-97-2F;Home;Afternoon;Password;<=3;[0.5, 1.6[;<=3;;Yes
224;2;Smartphone;172.17.0.15;82-CD-0E-4E-97-2F;Home;Afternoon;Password;<=3;[0.5, 1.6[;<=3;;Yes
225;2;Laptop;192.168.10.155;82-CD-0E-4E-97-2F;Home;Morning;Biometric;>3;[0.5, 1.6[;>3;>2;No
226;2;Laptop;172.17.0.15;82-CD-0E-4E-97-2F;Office;Afternoon;Biometric;<=3;[1.6, 2.6[;>3;<=2;Yes
227;2;Laptop;192.168.10.155;82-CD-0E-4E-97-2F;Home;Morning;Biometric;>3;[0.5, 1.6[;>3;>2;No
228;2;Laptop;10.44.0.120;01-E5-E6-4E-07-1A;Home;Afternoon;Biometric;>3;[0.5, 1.6[;>3;>2;Yes
229;2;Laptop;10.44.0.120;01-E5-E6-4E-07-1A;Home;Afternoon;Biometric;>3;[0.5, 1.6[;>3;>2;No
230;2;Laptop;192.168.10.155;82-CD-0E-4E-97-2F;Home;Morning;Biometric;>3;[1.6, 2.6[;>3;<=2;Yes
231;2;Laptop;10.44.0.120;01-E5-E6-4E-07-1A;Home;Afternoon;Biometric;>3;[0.5, 1.6[;>3;>2;No
232;2;Laptop;10.44.0.120;01-E5-E6-4E-07-1A;Home;Afternoon;Biometric;>3;[0.5, 1.6[;>3;>2;No
233;2;Laptop;10.44.0.120;01-E5-E6-4E-07-1A;Home;Afternoon;Biometric;>3;[0.5, 1.6[;>3;>2;No
234;2;Laptop;172.17.0.15;82-CD-0E-4E-97-2F;Other;Morning;Biometric;>3;[0.5, 1.6[;>3;<=2;Yes
235;2;Laptop;10.44.0.120;01-E5-E6-4E-07-1A;Home;Afternoon;Biometric;>3;[0.5, 1.6[;>3;>2;No
236;2;Smartphone;192.168.10.155;82-CD-0E-4E-97-2F;Home;Morning;Biometric;>3;[1.6, 2.6[;>3;>2;No
237;2;Smartphone;192.168.10.155;82-CD-0E-4E-97-2F;Home;Morning;Biometric;>3;[1.6, 2.6[;>3;>2;No
238;2;Smartphone;172.17.0.15;82-CD-0E-4E-97-2F;Office;Afternoon;Password;<=3;[0.5, 1.6[;<=3;;Yes
239;2;Smartphone;172.17.0.15;82-CD-0E-4E-97-2F;Office;Afternoon;Password;<=3;[0.5, 1.6[;<=3;;Yes
240;2;Smartphone;192.168.10.155;82-CD-0E-4E-97-2F;Home;Morning;Biometric;>3;[1.6, 2.6[;>3;>2;No
241;2;Smartphone;192.168.10.155;82-CD-0E-4E-97-2F;Home;Morning;Biometric;>3;[1.6, 2.6[;>3;>2;No
242;2;Laptop;172.17.0.15;82-CD-0E-4E-97-2F;Office;Afternoon;Biometric;<=3;[1.6, 2.6[;>3;<=2;Yes
243;2;Laptop;192.168.10.155;82-CD-0E-4E-97-2F;Home;Afternoon;Biometric;<=3;[0.5, 1.6[;>3;>2;No
244;2;Laptop;192.168.10.155;82-CD-0E-4E-97-2F;Home;Afternoon;Biometric;<=3;[0.5, 1.6[;>3;>2;Yes
245;2;Laptop;192.168.10.155;82-CD-0E-4E-97-2F;Home;Afternoon;Biometric;<=3;[0.5, 1.6[;>3;>2;No
246;2;Laptop;172.17.0.15;82-CD-0E-4E-97-2F;Home;Afternoon;Biometric;>3;[1.6, 2.6[;>3;<=2;Yes
247;2;Laptop;192.168.10.155;82-CD-0E-4E-97-2F;Home;Afternoon;Biometric;<=3;[0.5, 1.6[;>3;>2;No
248;2;Laptop;192.168.10.155;82-CD-0E-4E-97-2F;Home;Afternoon;Biometric;<=3;[0.5, 1.6[;>3;>2;No
249;2;Laptop;192.168.10.155;82-CD-0E-4E-97-2F;Home;Morning;Biometric;<=3;[1.6, 2.6[;>3;>2;No
250;2;Smartphone;10.11.0.2;08-3C-51-D1-B2-9B;Office;Afternoon;Biometric;>3;[1.6, 2.6[;>3;>2;No
251;2;Smartphone;10.11.0.2;08-3C-51-D1-B2-9B;Office;Afternoon;Biometric;>3;[1.6, 2.6[;>3;>2;No
252;2;Laptop;192.168.10.155;82-CD-0E-4E-97-2F;Home;Afternoon;Biometric;<=3;[0.5, 1.6[;>3;<=2;Yes
253;2;Laptop;192.168.10.155;82-CD-0E-4E-97-2F;Home;Afternoon;Biometric;<=3;[0.5, 1.6[;>3;<=2;Yes
254;2;Laptop;192.168.10.155;82-CD-0E-4E-97-2F;Home;Afternoon;Biometric;<=3;[1.6, 2.6[;>3;<=2;No
255;2;Laptop;192.168.10.155;82-CD-0E-4E-97-2F;Home;Afternoon;Biometric;<=3;[0.5, 1.6[;>3;<=2;Yes
256;2;Smartphone;10.11.0.2;08-3C-51-D1-B2-9B;Office;Afternoon;Biometric;>3;[1.6, 2.6[;>3;>2;No
257;2;Smartphone;172.17.0.15;82-CD-0E-4E-97-2F;Home;Afternoon;Biometric;<=3;[0.5, 1.6[;>3;<=2;Yes
258;2;Smartphone;10.11.0.2;08-3C-51-D1-B2-9B;Office;Afternoon;Biometric;>3;[1.6, 2.6[;>3;>2;No
259;2;Smartphone;10.11.0.2;08-3C-51-D1-B2-9B;Office;Afternoon;Biometric;>3;[1.6, 2.6[;>3;>2;No
260;2;Smartphone;10.11.0.2;08-3C-51-D1-B2-9B;Office;Afternoon;Biometric;>3;[1.6, 2.6[;>3;>2;No
261;2;Laptop;172.17.0.15;82-CD-0E-4E-97-2F;Other;Morning;Biometric;<=3;[1.6, 2.6[;>3;<=2;Yes
262;2;Laptop;172.17.0.15;82-CD-0E-4E-97-2F;Other;Morning;Biometric;<=3;[1.6, 2.6[;>3;<=2;Yes
263;2;Laptop;172.17.0.15;82-CD-0E-4E-97-2F;Other;Morning;Biometric;<=3;[1.6, 2.6[;>3;<=2;Yes
264;2;Laptop;192.168.10.155;82-CD-0E-4E-97-2F;Home;Afternoon;Biometric;<=3;[0.5, 1.6[;>3;>2;No
265;2;Laptop;172.18.0.34;82-CD-0E-4E-97-2F;Other;Morning;Biometric;>3;[1.6, 2.6[;>3;<=2;Yes
266;2;Laptop;172.18.0.34;82-CD-0E-4E-97-2F;Other;Morning;Biometric;>3;[1.6, 2.6[;>3;<=2;Yes
267;2;Laptop;172.18.0.34;01-E5-E6-4E-07-1A;Home;Afternoon;Biometric;>3;[0.5, 1.6[;>3;>2;Yes
268;2;Laptop;192.168.10.155;82-CD-0E-4E-97-2F;Home;Afternoon;Biometric;<=3;[1.6, 2.6[;>3;<=2;Yes
269;2;Laptop;192.168.10.155;82-CD-0E-4E-97-2F;Home;Afternoon;Biometric;<=3;[1.6, 2.6[;>3;<=2;Yes
270;2;Smartphone;10.44.1.120;F9-01-59-15-31-23;Home;Afternoon;Biometric;>3;[1.6, 2.6[;>3;>2;No
271;2;Smartphone;10.44.1.120;F9-01-59-15-31-23;Home;Afternoon;Biometric;>3;[1.6, 2.6[;>3;>2;No
272;2;Laptop;172.17.0.15;82-CD-0E-4E-97-2F;Office;Morning;Biometric;<=3;[1.6, 2.6[;>3;<=2;Yes
273;2;Laptop;172.17.0.15;82-CD-0E-4E-97-2F;Office;Morning;Biometric;<=3;[1.6, 2.6[;>3;<=2;Yes
274;2;Laptop;172.17.0.15;82-CD-0E-4E-97-2F;Office;Morning;Biometric;<=3;[1.6, 2.6[;>3;<=2;Yes
275;2;Laptop;172.17.0.15;82-CD-0E-4E-97-2F;Office;Morning;Biometric;<=3;[1.6, 2.6[;>3;<=2;Yes
276;2;Laptop;192.168.10.155;01-E5-E6-4E-07-1A;Home;Afternoon;Password;>3;[0.5, 1.6[;>3;;No
277;2;Laptop;172.17.0.15;82-CD-0E-4E-97-2F;Other;Morning;Biometric;>3;[0.5, 1.6[;>3;<=2;Yes
278;2;Laptop;172.17.0.15;82-CD-0E-4E-97-2F;Other;Morning;Biometric;>3;[0.5, 1.6[;>3;<=2;Yes
279;2;Laptop;172.17.0.15;82-CD-0E-4E-97-2F;Other;Morning;Biometric;>3;[0.5, 1.6[;>3;<=2;No
280;2;Smartphone;192.168.10.155;82-CD-0E-4E-97-2F;Home;Morning;Biometric;>3;[1.6, 2.6[;>3;>2;No
281;2;Laptop;192.168.10.155;82-CD-0E-4E-97-2F;Home;Afternoon;Biometric;<=3;[0.5, 1.6[;>3;>2;No
282;2;Laptop;172.17.0.15;82-CD-0E-4E-97-2F;Home;Afternoon;Biometric;>3;[1.6, 2.6[;>3;<=2;Yes
283;2;Laptop;172.17.0.15;82-CD-0E-4E-97-2F;Home;Afternoon;Biometric;>3;[1.6, 2.6[;>3;<=2;Yes
284;2;Laptop;172.17.0.15;82-CD-0E-4E-97-2F;Home;Afternoon;Biometric;>3;[1.6, 2.6[;>3;<=2;Yes
285;2;Smartphone;10.11.0.2;08-3C-51-D1-B2-9B;Office;Afternoon;Biometric;>3;[1.6, 2.6[;>3;>2;No
286;2;Laptop;10.10.0.5;82-CD-0E-4E-97-2F;Office;Morning;Password;<=3;[0.5, 1.6[;<=3;;No
287;2;Smartphone;172.17.0.15;82-CD-0E-4E-97-2F;Other;Morning;Biometric;>3;[1.6, 2.6[;>3;<=2;Yes
288;2;Laptop;10.10.0.5;82-CD-0E-4E-97-2F;Office;Morning;Password;<=3;[0.5, 1.6[;<=3;;No
289;2;Smartphone;10.10.0.5;82-CD-0E-4E-97-2F;Office;Morning;Biometric;<=3;[0.5, 1.6[;>3;>2;No
290;2;Laptop;10.10.0.5;82-CD-0E-4E-97-2F;Office;Morning;Password;<=3;[0.5, 1.6[;<=3;;No
291;2;Laptop;10.10.0.5;82-CD-0E-4E-97-2F;Office;Morning;Password;<=3;[0.5, 1.6[;<=3;;No
292;2;Laptop;10.10.0.5;82-CD-0E-4E-97-2F;Office;Morning;Password;<=3;[0.5, 1.6[;<=3;;No
293;2;Smartphone;172.17.0.15;82-CD-0E-4E-97-2F;Home;Afternoon;Biometric;<=3;[0.5, 1.6[;>3;<=2;Yes
294;2;Smartphone;172.17.0.15;82-CD-0E-4E-97-2F;Home;Afternoon;Biometric;>3;[0.5, 1.6[;>3;>2;No
295;2;Smartphone;10.10.0.5;82-CD-0E-4E-97-2F;Office;Morning;Password;<=3;[1.6, 2.6[;<=3;;No
296;2;Smartphone;172.17.0.15;82-CD-0E-4E-97-2F;Home;Afternoon;Biometric;>3;[0.5, 1.6[;>3;<=2;Yes
297;2;Laptop;172.17.0.15;82-CD-0E-4E-97-2F;Office;Afternoon;Biometric;<=3;[1.6, 2.6[;>3;<=2;Yes
298;2;Smartphone;10.10.0.5;82-CD-0E-4E-97-2F;Office;Morning;Biometric;<=3;[0.5, 1.6[;>3;>2;Yes
299;2;Laptop;10.10.0.5;82-CD-0E-4E-97-2F;Office;Afternoon;Biometric;>3;[0.5, 1.6[;>3;<=2;Yes
300;2;Laptop;172.17.0.15;82-CD-0E-4E-97-2F;Office;Afternoon;Biometric;<=3;[1.6, 2.6[;>3;<=2;Yes
301;2;Laptop;172.17.0.15;82-CD-0E-4E-97-2F;Office;Afternoon;Biometric;<=3;[1.6, 2.6[;>3;<=2;Yes
302;2;Laptop;192.168.10.155;82-CD-0E-4E-97-2F;Home;Morning;Biometric;>3;[1.6, 2.6[;>3;<=2;Yes
303;2;Laptop;192.168.10.155;82-CD-0E-4E-97-2F;Home;Morning;Biometric;>3;[1.6, 2.6[;>3;<=2;Yes
304;2;Laptop;192.168.10.155;82-CD-0E-4E-97-2F;Home;Morning;Biometric;>3;[1.6, 2.6[;>3;<=2;Yes
305;2;Smartphone;10.10.0.5;82-CD-0E-4E-97-2F;Office;Morning;Biometric;<=3;[0.5, 1.6[;>3;>2;No
306;2;Smartphone;172.17.0.15;82-CD-0E-4E-97-2F;Home;Afternoon;Biometric;>3;[0.5, 1.6[;>3;<=2;Yes
307;2;Smartphone;10.10.0.5;82-CD-0E-4E-97-2F;Office;Morning;Biometric;<=3;[0.5, 1.6[;>3;>2;No
308;2;Smartphone;10.10.0.5;82-CD-0E-4E-97-2F;Office;Morning;Biometric;<=3;[0.5, 1.6[;>3;>2;No
309;2;Laptop;172.17.0.15;82-CD-0E-4E-97-2F;Office;Afternoon;Biometric;<=3;[0.5, 1.6[;>3;<=2;Yes
310;2;Laptop;172.17.0.15;82-CD-0E-4E-97-2F;Office;Afternoon;Biometric;<=3;[1.6, 2.6[;>3;<=2;No
311;2;Smartphone;192.168.10.155;82-CD-0E-4E-97-2F;Home;Morning;Biometric;>3;[1.6, 2.6[;>3;>2;No
312;2;Smartphone;192.168.10.155;82-CD-0E-4E-97-2F;Home;Morning;Biometric;>3;[1.6, 2.6[;>3;>2;No
313;2;Laptop;172.17.0.15;82-CD-0E-4E-97-2F;Office;Afternoon;Biometric;<=3;[0.5, 1.6[;>3;<=2;Yes
314;2;Laptop;172.17.0.15;82-CD-0E-4E-97-2F;Office;Afternoon;Biometric;<=3;[0.5, 1.6[;>3;<=2;Yes
315;2;Laptop;10.51.0.11;06-59-AF-31-F7-17;Other;Morning;Biometric;>3;[0.5, 1.6[;>3;>2;No
316;2;Laptop;10.10.0.5;82-CD-0E-4E-97-2F;Office;Afternoon;Password;<=3;[0.5, 1.6[;<=3;;No
317;2;Laptop;10.10.0.5;82-CD-0E-4E-97-2F;Office;Afternoon;Password;<=3;[0.5, 1.6[;<=3;;No
318;2;Laptop;10.10.0.5;82-CD-0E-4E-97-2F;Office;Afternoon;Password;<=3;[0.5, 1.6[;<=3;;No
319;2;Laptop;10.10.0.5;82-CD-0E-4E-97-2F;Office;Afternoon;Biometric;>3;[0.5, 1.6[;>3;<=2;Yes
320;2;Laptop;10.10.0.5;82-CD-0E-4E-97-2F;Office;Afternoon;Biometric;>3;[0.5, 1.6[;>3;<=2;Yes
321;2;Laptop;192.168.10.155;82-CD-0E-4E-97-2F;Home;Afternoon;Biometric;<=3;[0.5, 1.6[;>3;>2;No
322;2;Smartphone;172.17.0.15;82-CD-0E-4E-97-2F;Other;Morning;Biometric;>3;[1.6, 2.6[;>3;<=2;Yes
323;2;Smartphone;172.17.0.15;82-CD-0E-4E-97-2F;Other;Morning;Biometric;>3;[1.6, 2.6[;>3;<=2;Yes
324;2;Smartphone;10.10.0.5;08-3C-51-D1-B2-9B;Office;Morning;Biometric;>3;[1.6, 2.6[;>3;>2;No
325;2;Smartphone;172.17.0.15;82-CD-0E-4E-97-2F;Other;Morning;Biometric;>3;[1.6, 2.6[;>3;<=2;Yes
326;2;Smartphone;172.17.0.15;82-CD-0E-4E-97-2F;Home;Afternoon;Biometric;<=3;[0.5, 1.6[;>3;<=2;Yes
327;2;Smartphone;172.17.0.15;82-CD-0E-4E-97-2F;Home;Afternoon;Biometric;<=3;[0.5, 1.6[;>3;<=2;Yes
328;2;Smartphone;192.168.10.155;01-E5-E6-4E-07-1A;Home;Morning;Password;>3;[0.5, 1.6[;>3;;Yes
329;2;Smartphone;192.168.10.155;82-CD-0E-4E-97-2F;Home;Morning;Biometric;<=3;[1.6, 2.6[;>3;<=2;Yes
330;2;Smartphone;192.168.10.155;82-CD-0E-4E-97-2F;Home;Morning;Biometric;<=3;[1.6, 2.6[;>3;<=2;Yes
331;2;Smartphone;192.168.10.155;82-CD-0E-4E-97-2F;Home;Morning;Biometric;<=3;[1.6, 2.6[;>3;<=2;Yes
332;2;Smartphone;192.168.240.22;08-3C-51-D1-B2-9B;Other;Morning;Biometric;<=3;[0.5, 1.6[;>3;>2;No
333;2;Smartphone;172.17.0.15;82-CD-0E-4E-97-2F;Home;Afternoon;Biometric;>3;[0.5, 1.6[;>3;<=2;Yes
334;2;Smartphone;172.17.0.15;82-CD-0E-4E-97-2F;Home;Afternoon;Biometric;>3;[0.5, 1.6[;>3;<=2;Yes
335;2;Laptop;10.10.0.5;82-CD-0E-4E-97-2F;Office;Morning;Biometric;>3;[0.5, 1.6[;>3;<=2;Yes
336;2;Laptop;10.10.0.5;08-3C-51-D1-B2-9B;Office;Afternoon;Biometric;>3;[1.6, 2.6[;>3;>2;No
337;2;Smartphone;10.11.0.2;08-3C-51-D1-B2-9B;Office;Afternoon;Biometric;>3;[1.6, 2.6[;>3;>2;No
338;2;Smartphone;172.17.0.15;82-CD-0E-4E-97-2F;Office;Afternoon;Password;<=3;[0.5, 1.6[;<=3;;Yes
339;2;Smartphone;172.17.0.15;82-CD-0E-4E-97-2F;Other;Afternoon;Password;<=3;[0.5, 1.6[;<=3;;Yes
340;2;Smartphone;172.17.0.15;82-CD-0E-4E-97-2F;Other;Afternoon;Password;<=3;[0.5, 1.6[;<=3;;Yes
341;2;Smartphone;172.17.0.15;82-CD-0E-4E-97-2F;Other;Afternoon;Password;<=3;[0.5, 1.6[;<=3;;Yes
342;2;Smartphone;172.17.0.15;82-CD-0E-4E-97-2F;Other;Afternoon;Password;<=3;[0.5, 1.6[;<=3;;Yes
343;2;Smartphone;192.168.10.155;01-E5-E6-4E-07-1A;Home;Morning;Password;>3;[0.5, 1.6[;>3;;Yes
344;2;Smartphone;10.10.0.5;82-CD-0E-4E-97-2F;Office;Morning;Biometric;>3;[0.5, 1.6[;>3;<=2;Yes
345;2;Smartphone;192.168.10.155;01-E5-E6-4E-07-1A;Home;Morning;Password;>3;[0.5, 1.6[;>3;;No
346;2;Laptop;192.168.10.155;82-CD-0E-4E-97-2F;Home;Afternoon;Biometric;>3;[0.5, 1.6[;>3;<=2;Yes
347;2;Smartphone;10.10.0.5;08-3C-51-D1-B2-9B;Office;Morning;Biometric;>3;[1.6, 2.6[;>3;>2;No
348;2;Smartphone;10.10.0.5;08-3C-51-D1-B2-9B;Office;Morning;Biometric;>3;[1.6, 2.6[;>3;>2;No
349;2;Smartphone;10.10.0.5;82-CD-0E-4E-97-2F;Office;Morning;Biometric;>3;[0.5, 1.6[;>3;<=2;Yes
350;2;Smartphone;192.168.240.22;08-3C-51-D1-B2-9B;Other;Morning;Biometric;<=3;[0.5, 1.6[;>3;>2;No
351;2;Smartphone;192.168.240.22;08-3C-51-D1-B2-9B;Other;Morning;Biometric;<=3;[0.5, 1.6[;>3;>2;No
352;2;Smartphone;172.17.0.15;82-CD-0E-4E-97-2F;Home;Morning;Biometric;>3;[1.6, 2.6[;>3;<=2;Yes
353;2;Smartphone;172.17.0.15;82-CD-0E-4E-97-2F;Home;Morning;Biometric;>3;[1.6, 2.6[;>3;<=2;Yes
354;2;Smartphone;172.17.0.15;82-CD-0E-4E-97-2F;Home;Morning;Biometric;>3;[1.6, 2.6[;>3;<=2;Yes
355;2;Smartphone;172.17.0.15;82-CD-0E-4E-97-2F;Home;Morning;Biometric;>3;[1.6, 2.6[;>3;<=2;Yes
356;2;Smartphone;172.17.0.15;82-CD-0E-4E-97-2F;Home;Morning;Biometric;>3;[1.6, 2.6[;>3;<=2;Yes
357;2;Smartphone;10.10.0.5;82-CD-0E-4E-97-2F;Office;Morning;Biometric;>3;[0.5, 1.6[;>3;<=2;Yes
358;2;Smartphone;192.168.10.155;01-E5-E6-4E-07-1A;Home;Morning;Password;>3;[0.5, 1.6[;>3;;No
359;2;Smartphone;10.10.0.5;82-CD-0E-4E-97-2F;Office;Morning;Biometric;>3;[0.5, 1.6[;>3;<=2;Yes
360;2;Smartphone;10.10.0.5;82-CD-0E-4E-97-2F;Office;Morning;Biometric;>3;[0.5, 1.6[;>3;<=2;No
361;2;Laptop;192.168.10.155;82-CD-0E-4E-97-2F;Home;Morning;Biometric;>3;[0.5, 1.6[;>3;>2;No
362;2;Smartphone;172.17.0.15;82-CD-0E-4E-97-2F;Home;Afternoon;Biometric;<=3;[1.6, 2.6[;>3;<=2;Yes
363;2;Smartphone;172.17.0.15;82-CD-0E-4E-97-2F;Home;Afternoon;Biometric;<=3;[1.6, 2.6[;>3;<=2;Yes
364;2;Smartphone;172.17.0.15;82-CD-0E-4E-97-2F;Home;Afternoon;Biometric;<=3;[1.6, 2.6[;>3;<=2;Yes
365;2;Smartphone;10.10.0.5;08-3C-51-D1-B2-9B;Office;Morning;Biometric;>3;[1.6, 2.6[;>3;>2;No
366;2;Smartphone;172.17.0.15;82-CD-0E-4E-97-2F;Home;Afternoon;Biometric;<=3;[1.6, 2.6[;>3;<=2;Yes
367;2;Smartphone;172.17.0.15;82-CD-0E-4E-97-2F;Home;Afternoon;Biometric;<=3;[1.6, 2.6[;>3;<=2;Yes
368;2;Smartphone;192.168.10.155;82-CD-0E-4E-97-2F;Home;Morning;Biometric;<=3;[1.6, 2.6[;>3;<=2;Yes
369;2;Laptop;192.168.10.155;82-CD-0E-4E-97-2F;Home;Morning;Biometric;<=3;[1.6, 2.6[;>3;<=2;No
370;2;Smartphone;192.168.10.155;82-CD-0E-4E-97-2F;Home;Morning;Biometric;<=3;[1.6, 2.6[;>3;<=2;Yes
371;2;Smartphone;192.168.10.155;82-CD-0E-4E-97-2F;Home;Morning;Biometric;<=3;[1.6, 2.6[;>3;<=2;Yes
372;2;Smartphone;192.168.10.155;82-CD-0E-4E-97-2F;Home;Morning;Biometric;<=3;[1.6, 2.6[;>3;<=2;Yes
373;2;Smartphone;192.168.10.155;82-CD-0E-4E-97-2F;Home;Morning;Password;<=3;[1.6, 2.6[;<=3;;Yes
374;2;Laptop;192.168.10.155;82-CD-0E-4E-97-2F;Home;Morning;Biometric;>3;[0.5, 1.6[;>3;>2;No
375;2;Laptop;192.168.10.155;82-CD-0E-4E-97-2F;Home;Morning;Biometric;>3;[0.5, 1.6[;>3;>2;No
376;2;Smartphone;192.168.10.155;82-CD-0E-4E-97-2F;Home;Morning;Password;<=3;[1.6, 2.6[;<=3;;Yes
377;2;Smartphone;192.168.10.155;82-CD-0E-4E-97-2F;Home;Morning;Password;<=3;[1.6, 2.6[;<=3;;Yes
378;2;Smartphone;192.168.10.155;82-CD-0E-4E-97-2F;Home;Morning;Password;<=3;[1.6, 2.6[;<=3;;Yes
379;2;Laptop;10.51.0.11;06-59-AF-31-F7-17;Other;Morning;Biometric;>3;[0.5, 1.6[;>3;>2;No
380;2;Smartphone;10.10.0.5;82-CD-0E-4E-97-2F;Office;Morning;Password;<=3;[1.6, 2.6[;<=3;;No
381;2;Smartphone;10.10.0.5;82-CD-0E-4E-97-2F;Office;Morning;Password;<=3;[1.6, 2.6[;<=3;;No
382;2;Smartphone;10.10.0.5;82-CD-0E-4E-97-2F;Office;Morning;Password;<=3;[1.6, 2.6[;<=3;;No
383;2;Smartphone;192.168.240.22;08-3C-51-D1-B2-9B;Other;Morning;Biometric;<=3;[0.5, 1.6[;>3;>2;No
384;2;Smartphone;10.10.0.5;82-CD-0E-4E-97-2F;Office;Morning;Password;<=3;[1.6, 2.6[;<=3;;No
385;2;Smartphone;10.10.0.5;82-CD-0E-4E-97-2F;Office;Morning;Password;<=3;[1.6, 2.6[;<=3;;No
386;2;Smartphone;10.10.0.5;82-CD-0E-4E-97-2F;Office;Morning;Password;<=3;[1.6, 2.6[;<=3;;No
387;2;Laptop;10.10.0.5;82-CD-0E-4E-97-2F;Office;Morning;Biometric;>3;[0.5, 1.6[;>3;<=2;Yes
388;2;Laptop;10.10.0.5;82-CD-0E-4E-97-2F;Office;Morning;Biometric;<=3;[1.6, 2.6[;>3;>2;No
389;2;Laptop;10.10.0.5;82-CD-0E-4E-97-2F;Office;Morning;Biometric;<=3;[1.6, 2.6[;>3;>2;No
390;2;Laptop;10.10.0.5;82-CD-0E-4E-97-2F;Office;Morning;Biometric;>3;[0.5, 1.6[;>3;<=2;Yes
391;2;Laptop;10.10.0.5;82-CD-0E-4E-97-2F;Office;Morning;Biometric;>3;[0.5, 1.6[;>3;<=2;Yes
392;2;Laptop;10.10.0.5;82-CD-0E-4E-97-2F;Office;Morning;Biometric;>3;[0.5, 1.6[;>3;<=2;Yes
393;2;Laptop;192.168.10.155;01-E5-E6-4E-07-1A;Home;Morning;Password;>3;[1.6, 2.6[;>3;;No
394;2;Laptop;192.168.10.155;82-CD-0E-4E-97-2F;Home;Afternoon;Biometric;>3;[0.5, 1.6[;>3;<=2;Yes
395;2;Laptop;192.168.10.155;82-CD-0E-4E-97-2F;Home;Afternoon;Biometric;>3;[0.5, 1.6[;>3;<=2;Yes
396;2;Laptop;192.168.10.155;82-CD-0E-4E-97-2F;Home;Afternoon;Biometric;>3;[0.5, 1.6[;>3;>2;Yes
